classifier,accuracy,precision,recall,f1,roc_auc
SMO,0.8508333333333333,0.6749999999999999,0.4583333333333332,0.5254761904761904,0.8653311965811966
MLP,0.8370833333333334,0.645,0.5499999999999999,0.5566666666666666,0.8334401709401709
IBk,0.825,0.5916666666666666,0.4333333333333333,0.48571428571428565,0.8428418803418802
J48,0.7725,0.4552380952380952,0.5583333333333333,0.4868253968253969,0.6929487179487179
NB,0.61375,0.3382142857142857,0.875,0.48612276612276606,0.8395299145299144
