classifier,accuracy,precision,recall,f1,roc_auc
SMO,0.8875,0.55,0.45,0.4666666666666666,0.898809523809524
IBk,0.8625,0.4833333333333333,0.45,0.4333333333333333,0.9005952380952381
MLP,0.85,0.45,0.45,0.4333333333333333,0.8821428571428573
J48,0.825,0.5033333333333333,0.65,0.5,0.7595238095238096
NB,0.5625,0.24857142857142858,0.9,0.3801587301587301,0.9059523809523808
