model,accuracy,p_value
Bagging+SMO,0.8570833333333333,0.6073622438515478
SMO (baseline),0.8508333333333333,
Stacking,0.8379166666666666,0.5123396454522297
AdaBoostM1+SMO,0.79375,0.04263366829536663
